                                                                                                       16 Jul 2020 15:26:21
Civil Air Patrol Use Only
Satellite-geo:  J2000 Position & Velocity


       Time (UTCG)              x (km)            y (km)            z (km)        vx (km/sec)    vy (km/sec)    vz (km/sec)
25 Jul 2019 13:36:00.000     386150.553909     323622.020909      74035.982270      -0.417568       1.065440       0.547070
25 Jul 2019 18:24:00.000     378725.240361     341844.419677      83449.951245      -0.441542       1.043699       0.542447
25 Jul 2019 23:12:00.000     370900.922680     359694.533339      92781.045803      -0.463771       1.022352       0.537491
26 Jul 2019 04:00:00.000     362706.635763     377179.213024     102024.142515      -0.484382       1.001404       0.532273
26 Jul 2019 08:48:00.000     354169.360015     394305.399577     111175.217425      -0.503487       0.980861       0.526849
26 Jul 2019 13:36:00.000     345314.224797     411080.144418     120231.152790      -0.521187       0.960729       0.521269
26 Jul 2019 18:24:00.000     336164.670899     427510.614744     129189.585992      -0.537578       0.941016       0.515571
26 Jul 2019 23:12:00.000     326742.583880     443604.087767     138048.789633      -0.552745       0.921726       0.509789
27 Jul 2019 04:00:00.000     317068.404256     459367.935342     146807.576243      -0.566768       0.902865       0.503953
27 Jul 2019 08:48:00.000     307161.227799     474809.605014     155465.215820      -0.579724       0.884437       0.498086
27 Jul 2019 13:36:00.000     297038.889280     489936.595189     164021.371510      -0.591682       0.866444       0.492210
27 Jul 2019 18:24:00.000     286718.045200     504756.432631     172476.039860      -0.602710       0.848887       0.486342
27 Jul 2019 23:12:00.000     276214.244555     519276.646277     180829.504401      -0.612868       0.831765       0.480499
28 Jul 2019 04:00:00.000     265541.999217     533504.745187     189082.292351      -0.622215       0.815077       0.474692
28 Jul 2019 08:48:00.000     254714.848766     547448.196986     197235.138342      -0.630806       0.798820       0.468933
28 Jul 2019 13:36:00.000     243745.421413     561114.408063     205288.953310      -0.638691       0.782988       0.463232
28 Jul 2019 18:24:00.000     232645.491816     574510.706090     213244.797472      -0.645918       0.767579       0.457595
28 Jul 2019 23:12:00.000     221426.036221     587644.325251     221103.856519      -0.652532       0.752585       0.452031
29 Jul 2019 04:00:00.000     210097.285503     600522.394614     228867.420111      -0.658574       0.738000       0.446543
